12|SUMATERA UTARA
12.07.05.2018|Tuntungan II
12.07.05.2019|Durin Jangak
12.07.05.2020|Sembahe Baru
12.07.05.2021|Tanjung Anom
12.07.05.2022|Sei Glugur
12.07.05.2023|Suka Raya
12.07.05.2024|Baru
12.07.05.2025|Perumnas Simalingkar
12.07.06|Namorambe
12.07.06.2001|Deli Tua
12.07.06.2002|Jati Kesuma
12.07.06.2003|Namo Rambe
12.07.06.2004|Gunung Kelawas
12.07.06.2005|Ujung Labuhan
12.07.06.2006|Lubang Ido
12.07.06.2007|Siluelue
12.07.06.2008|Timbang Lawan
12.07.06.2009|Batu Mbelin
12.07.06.2010|Namo Batang
12.07.06.2011|Tanjung Selamat
12.07.06.2012|Bekukul
12.07.06.2013|Namo Pakam
12.07.06.2014|Sukamulia Hilir
12.07.06.2015|Sukamulia Hulu
12.07.06.2016|Rumah Mbacang
12.07.06.2017|Cinta Rakyat
12.07.06.2018|Batu Penjemuran
12.07.06.2019|Kuta Tengah
12.07.06.2020|Namo Landur
12.07.06.2021|Gunung Berita
12.07.06.2022|Tangkahan
12.07.06.2023|Uruk Gedang
12.07.06.2024|Rumah Keben
12.07.06.2025|Namo Pinang
12.07.06.2026|Sudirejo
12.07.06.2027|Jaba
12.07.06.2028|Kuta Tualah
12.07.06.2029|Kwala Simeme
12.07.06.2030|Batu Gemuk
12.07.06.2031|Lau Mulgab
12.07.06.2032|Batu Rejo
12.07.06.2033|Salang Tungir
12.07.06.2034|Namo Mbaru
12.07.06.2035|Rimo Mungkur
12.07.06.2036|Namo Mbelin
12.07.07|Sibiru-biru
12.07.07.2001|Aji Baho
12.07.07.2002|Biru-biru
12.07.07.2003|Candi Rejo
12.07.07.2004|Kuta Mulyo
12.07.07.2005|Kuala Dekah
12.07.07.2006|Mbaruai
12.07.07.2007|Mardinding Julu
12.07.07.2008|Namo Suro Baru
12.07.07.2009|Peria-ria
12.07.07.2010|Penen
12.07.07.2011|Rumah Gerat
12.07.07.2012|Sidodadi
12.07.07.2013|Sidomulyo
12.07.07.2014|Selamat
12.07.07.2015|Sarilaba Jahe
12.07.07.2016|Tanjung Sena
12.07.07.2017|Namo Tualang
12.07.08|STM Hilir
12.07.08.2001|Talun Kenas
12.07.08.2002|Gunung Rintih
12.07.08.2003|Sumbul
12.07.08.2004|Tandukan Raga
12.07.08.2005|Limau Mungkur
12.07.08.2006|Negara Beringin
12.07.08.2007|Lau Barus Baru
12.07.08.2008|Juma Tombak
12.07.08.2009|Siguci
12.07.08.2010|Kuta Jurung
12.07.08.2011|Tala Peta
12.07.08.2012|Lau Rakit
12.07.08.2013|Penungkiren
12.07.08.2014|Rambai
12.07.08.2015|Lau Rempak
12.07.09|Bangun Purba
12.07.09.2001|Bah Perak
12.07.09.2002|Bandar Kuala
12.07.09.2003|Bah Balua
12.07.09.2005|Bandar Gugung
12.07.09.2006|Bandar Meriah
12.07.09.2007|Batu Gingging
12.07.09.2008|Bangun Purba
12.07.09.2009|Bangun Purba Tengah
12.07.09.2010|Begerpang
12.07.09.2011|Batu Rata
12.07.09.2012|Cimahi
12.07.09.2014|Damak Maliho
12.07.09.2015|Greahan
12.07.09.2017|Marombun Ujung Jawi
12.07.09.2018|Marombun Barat
12.07.09.2019|Mabar
12.07.09.2020|Perguroan
12.07.09.2023|Rumah Deleng
12.07.09.2024|Sibaganding
12.07.09.2025|Sialang
12.07.09.2027|Sukaluwei
12.07.09.2030|Tanjung Purba
12.07.09.2032|Urung Ganjang
12.07.09.2033|Ujung Rambe
12.07.19|Galang
12.07.19.1038|Galang Kota
12.07.19.2001|Tanjung Gusti
12.07.19.2002|Baru Titi Besi
12.07.19.2003|Bandar Kuala
12.07.19.2004|Batu Lokong
12.07.19.2005|Galang Suka
12.07.19.2006|Galang Barat
12.07.19.2007|Jaharum A
12.07.19.2008|Jaharum B
12.07.19.2009|Juhar Baru
12.07.19.2012|Keramat Gajah
12.07.19.2013|Kotasan
12.07.19.2015|Kotangan
12.07.19.2016|Kelapa Satu
12.07.19.2019|Nogorejo
12.07.19.2022|Paku
12.07.19.2023|Petumbukan
12.07.19.2024|Petangguhan
12.07.19.2025|Pisang Pala
12.07.19.2026|Paya Itik
12.07.19.2027|Pulau Tagor Batu
12.07.19.2028|Paya Kuda
12.07.19.2029|Paya Sampir
12.07.19.2030|Sei Putih
12.07.19.2031|Sei Karang
12.07.19.2034|Tanah Abang
12.07.19.2035|Timbang Deli
12.07.19.2036|Tanah Merah
12.07.19.2037|Tanjung Siporkis
12.07.20|STM Hulu
12.07.20.2001|Tiga Juhar
12.07.20.2002|Tanjung Bampu
12.07.20.2003|Rumah Rih
12.07.20.2004|Liang Muda
12.07.20.2005|Durian IV Mbelang
12.07.20.2006|Tanah Gara Hulu
12.07.20.2007|Gunung Manupak A
12.07.20.2008|Bah Bah Buntu
12.07.20.2009|Tanjung Muda
12.07.20.2010|Tanjung Raja
12.07.20.2011|Kuta Mbelin
12.07.20.2012|Rumah Sumbul
12.07.20.2013|Ranggit-git
12.07.20.2014|Liang Pematang
12.07.20.2015|Gunung Manupak B
12.07.20.2016|Rumah Lengo
12.07.20.2017|Sipinggan
12.07.20.2018|Tanjung Timur
12.07.20.2019|Durian Tinggung
12.07.20.2020|Sibunga Bunga Hilir
12.07.21|Patumbak
12.07.21.2001|Lantasan Baru
12.07.21.2002|Patumbak  I
12.07.21.2003|Patumbak II
12.07.21.2004|Lantasan Lama
12.07.21.2005|Sigara-gara
12.07.21.2006|Marendal I
12.07.21.2007|Marindal II
12.07.21.2008|Patumbak Kampung
12.07.22|Deli Tua
12.07.22.1004|Deli Tua
12.07.22.1005|Deli Tua Timur
12.07.22.1006|Deli Tua Barat
12.07.22.2001|Kedai Durian
12.07.22.2002|Suka Makmur
12.07.22.2003|Mekar Sari
12.07.23|Sunggal
12.07.23.2001|Sei Semayang
12.07.23.2002|Lalang
12.07.23.2003|Puji Mulyo
12.07.23.2004|Paya Geli
12.07.23.2005|Mulio Rejo
12.07.23.2006|Purwodadi
12.07.23.2007|Sumber Melati Diski
12.07.23.2008|Tanjung Gusta
12.07.23.2009|Helvetia
12.07.23.2010|Medan Krio
12.07.23.2011|Sei Mencirim
12.07.23.2012|Sukamaju
12.07.23.2013|Sunggal Kanan
12.07.23.2014|Serbajadi
12.07.23.2015|Telaga Sari
12.07.23.2016|Tanjung Selamat
12.07.23.2017|Sei Beras Sekata
12.07.24|Hamparan Perak
12.07.24.2001|Hamparan Perak
12.07.24.2002|Sei Baharu
12.07.24.2003|Klumpang Kebun
12.07.24.2004|Klumpang Kampung
12.07.24.2005|Klambir Lima Kampung
12.07.24.2006|Tandem Hulu II
12.07.24.2007|Klambir
12.07.24.2008|Selemak
12.07.24.2009|Kelambir Lima Kebun
12.07.24.2010|Sialang Muda
12.07.24.2011|Paya Bakung
12.07.24.2012|Tandem Hulu I
12.07.24.2013|Tandem Hilir I
12.07.24.2014|Tandem Hilir II
12.07.24.2015|Kota Datar
12.07.24.2016|Bulu Cina
12.07.24.2017|Kota Rantang
12.07.24.2018|Paluh Manan
12.07.24.2019|Lama
12.07.24.2020|Paluh Kurau
12.07.25|Labuhan Deli
12.07.25.2001|Helvetia
12.07.25.2002|Manunggal
12.07.25.2003|Pematang Johar
12.07.25.2004|Karang Gading
12.07.25.2005|Telaga Tujuh
12.07.26|Percut Sei Tuan
12.07.26.1019|Kenangan
12.07.26.1020|Kenangan Baru
12.07.26.2001|Pematang Lalang
12.07.26.2002|Sambirejo Timur
12.07.26.2003|Kolam
12.07.26.2004|Percut
12.07.26.2005|Laut Dendang
12.07.26.2006|Tembung
12.07.26.2007|Cinta Rakyat
12.07.26.2008|Amplas
12.07.26.2009|Saentis
12.07.26.2010|Sampali
12.07.26.2011|Bandar Khalipah
12.07.26.2012|Bandar Klippa
12.07.26.2013|Tanjung Selamat
12.07.26.2014|Tanjung Rejo
12.07.26.2015|Medan Estate
12.07.26.2016|Cinta Damai
12.07.26.2017|Bandar Setia
12.07.26.2018|Sei Rotan
12.07.27|Batang Kuis
12.07.27.2001|Sena
12.07.27.2002|Tumpatan Nibung
12.07.27.2003|Tanjung Sari
12.07.27.2004|Baru
12.07.27.2005|Batangkuis Pekan
12.07.27.2006|Sidodadi
12.07.27.2007|Bintang Meriah
12.07.27.2008|Bakaran Batu
12.07.27.2009|Paya Gambar
12.07.27.2010|Mesjid
12.07.27.2011|Sugiharjo
12.07.28|Lubuk Pakam
12.07.28.1007|Lubuk Pakam I,II
12.07.28.1008|Lubuk Pakam III
12.07.28.1009|Paluh Kemiri
12.07.28.1010|Cemara
12.07.28.1011|Syahmad
12.07.28.1012|Petapahan
12.07.28.1013|Lubuk Pakam Pekan
12.07.28.2001|Sekip
12.07.28.2002|Pagar Jati
12.07.28.2003|Tanjung Garbus I
12.07.28.2004|Pasar Melintang
12.07.28.2005|Pagar Merbau III
12.07.28.2006|Bakaran Batu
12.07.31|Pagar Merbau
12.07.31.2001|Tanjung Mulia
12.07.31.2002|Purwodadi
12.07.31.2003|Sidodadi Batu B
12.07.31.2004|Suka Mulia
12.07.31.2005|Jati Rejo
12.07.31.2006|Pagar Merbau I
12.07.31.2007|Pagar Merbau II
12.07.31.2008|Sidoharjo-I Pasar Miring
12.07.31.2009|Jati Baru
12.07.31.2010|Bandar Dolok
12.07.31.2011|Tanjung Garbus II
12.07.31.2012|Tanjung Garbus Kampung
12.07.31.2013|Perbarakan
12.07.31.2014|Sukamandi Hilir
12.07.31.2015|Sukamandi Hulu
12.07.31.2016|Sumberejo
12.07.32|Pantai Labu
12.07.32.2001|Sei Tuan
12.07.32.2002|Tengah
12.07.32.2003|Bagan Serdang
12.07.32.2004|Rantau Panjang
12.07.32.2005|Regemuk
12.07.32.2006|Kubah Sentang
12.07.32.2007|Pantai Labu Pekan
12.07.32.2008|Pantai Labu Baru
12.07.32.2009|Ramunia
12.07.32.2010|Ramunia
12.07.32.2011|Perkebunan Ramunia
12.07.32.2012|Denai Lama
12.07.32.2013|Denai Kuala
12.07.32.2014|Denai Sarang Burung
12.07.32.2015|Binjai Bakung
12.07.32.2016|Paluh Sibaji
12.07.32.2017|Kelambir
12.07.32.2018|Durian
12.07.32.2019|Pematang Biara
12.07.33|Beringin
12.07.33.2001|Serdang
12.07.33.2002|Sidourip
12.07.33.2003|Aras Kabu
12.07.33.2004|Pasar VI Kuala Namu
12.07.33.2005|Eplasmen Kuala Namu
12.07.33.2006|Pasar V Kebun Kelapa
12.07.33.2007|Beringin
12.07.33.2008|Sidoarjo II Ramunia
12.07.33.2009|Karang Anyar
12.07.33.2010|Sidodadi Ramunia
12.07.33.2011|Tumpatan
12.08|KAB. SIMALUNGUN
12.08.01|Siantar
12.08.01.2001|Silampuyang
12.08.01.2002|Marihat Baris
12.08.01.2003|Dolok Marlawan
12.08.01.2004|Rambung Merah
12.08.01.2005|Silou Manik
12.08.01.2006|Sejahtera
12.08.01.2007|Siantar Estate
12.08.01.2008|Karang Bangun
12.08.01.2009|Nusa Harapan
12.08.01.2010|Sitalasari
12.08.01.2011|Lestari Indah
12.08.01.2012|Laras Dua
12.08.01.2013|Dolok Hataran
12.08.01.2014|Pantoan Maju
12.08.01.2015|Pematang Simalungun
12.08.01.2016|Silau Malaha
12.08.01.2017|Pematang Silampuyang
12.08.02|Gunung Malela
12.08.02.2001|Dolok Malela
12.08.02.2002|Senio
12.08.02.2003|Pematang Asilum
12.08.02.2004|Serapuh
12.08.02.2005|Margo Mulyo
12.08.02.2006|Silulu
12.08.02.2007|Silau Malela
12.08.02.2008|Bandar Siantar
12.08.02.2009|Pamatang Gajing
12.08.02.2010|Bangun
12.08.02.2011|Nagori Malela
12.08.02.2012|Bukit Maraja
12.08.02.2013|Pamatang Syahkuda
12.08.02.2014|Marihat Bukit
12.08.02.2015|Syahkuda Bayu
12.08.02.2016|Lingga
12.08.03|Gunung Maligas
12.08.03.2001|Silau Bayu
12.08.03.2002|Karang Anyer
12.08.03.2003|Karang Rejo
12.08.03.2004|Karang Sari
12.08.03.2005|Tumorang
12.08.03.2006|Rabuhit
12.08.03.2007|Hutadipar
12.08.03.2008|Ganjing
12.08.03.2009|Bandar Malela
12.08.04|Panei
12.08.04.1011|Panei Tongah
12.08.04.2001|Janggir Leto
12.08.04.2002|Simpang Pane Raya
12.08.04.2003|Siborna
12.08.04.2004|Sipoldas
12.08.04.2005|Bangun Rakyat
12.08.04.2006|Sigodang
12.08.04.2007|Sigodang Barat
12.08.04.2008|Bah Bolon Tonga
12.08.04.2009|Mekar Sari Raya
12.08.04.2010|Simantin Pane Dame
12.08.04.2012|Simpang Raya Dasma
12.08.04.2013|Bangun Das Mariah
12.08.04.2014|Bangun Sitolu Bah
12.08.04.2015|Bah Liran Siborna
12.08.04.2016|Nauli Baru
12.08.04.2017|Rawang Pardomuan Nauli
12.08.05|Panombeian Pane
12.08.05.2001|Panombeian
12.08.05.2002|Pematang Panombean
12.08.05.2003|Nagori Bosar
12.08.05.2004|Marjandi
12.08.05.2005|Simpang Panei
12.08.05.2006|Talun Kondot
12.08.05.2007|Simbolon Tengkoh
12.08.05.2008|Pematang Pane
12.08.05.2009|Marjandi Pisang
12.08.05.2010|Banuh Raya
12.08.05.2011|Rukun Mulyo
12.08.06|Jorlang Hataran
12.08.06.1008|Tiga Balata
12.08.06.2001|Kasindir
12.08.06.2002|Sibunga Bunga
12.08.06.2003|Jorlang Hataran
12.08.06.2004|Bah Sampuran
12.08.06.2005|Bah Birong Ulu
12.08.06.2006|Pinang Ratus
12.08.06.2007|Dolok Marlawan
12.08.06.2009|Panombean Hutaurung
12.08.06.2010|Dipar Hataran
12.08.06.2011|Pagar Pinang
12.08.06.2012|Dolok Parriasan
12.08.06.2013|Parmonangan
12.08.07|Raya Kahean
12.08.07.1008|Sindar Raya
12.08.07.2001|Sambosar Raya
12.08.07.2002|Panduman
12.08.07.2003|Ambarokan Pane Raya
12.08.07.2004|Bah Tonang
12.08.07.2005|Bah Bulian
12.08.07.2006|Bangun Raya
12.08.07.2007|Durian Banggal
12.08.07.2008|Sorba Dolog
12.08.07.2009|Gunung Datas
12.08.07.2010|Puli Buah
12.08.07.2011|Banu Raya
12.08.07.2012|Marubun Siboras
12.08.07.2013|Banjaran
12.08.08|Bosar Maligas
12.08.08.1013|Bosar Maligas
12.08.08.2001|Parbutaran
12.08.08.2002|Mayang
12.08.08.2003|Boluk
12.08.08.2004|Sei Mangkei
12.08.08.2005|Gunung Bayu
12.08.08.2006|Talun Saragih
12.08.08.2007|Dusun Pengkolan
12.08.08.2008|Sei Torop
12.08.08.2009|Marihat Tanjung
12.08.08.2010|Marihat Butar
12.08.08.2011|Teladan
12.08.08.2012|Adil Makmur
12.08.08.2014|Tempel Jaya
12.08.08.2015|Sidomulyo
12.08.08.2016|Mekar Rejo
12.08.08.2017|Nanggar Bayu
12.08.09|Sidamanik
12.08.09.1013|Sarimatondang
12.08.09.2001|Bah Butong I
12.08.09.2002|Sidamanik
12.08.09.2003|Ambarisan
12.08.09.2004|Tiga Bolon
12.08.09.2005|Bah Butong II
12.08.09.2006|Bahal Gajah
12.08.09.2007|Manik Hataran
12.08.09.2008|Mekar Sidamanik
12.08.09.2009|Manik Maraja
12.08.09.2010|Bah Biak
12.08.09.2011|Birong Ulu Manriah
12.08.09.2012|Kebun Sayur Bah Butong
12.08.09.2014|Manik Rambung
12.08.09.2015|Bukit Rejo
12.08.10|Pematang Sidamanik
12.08.10.1009|Sipolha Horison
12.08.10.2001|Sait Buttu Saribu
12.08.10.2002|Pematang Sidamanik
12.08.10.2003|Sarimattin
12.08.10.2004|Bandar Manik
12.08.10.2005|Jorlang Huluan
12.08.10.2006|Sihaporas
12.08.10.2007|Pematang Tambun Raya
12.08.10.2008|Simantin
12.08.10.2010|Gorak
12.08.11|Tanah Jawa
12.08.11.1018|Pematang Tanah Jawa
12.08.11.2001|Tanjung Pasir
12.08.11.2002|Totap Majawa
12.08.11.2003|Balimbingan
12.08.11.2004|Baja Dolok
12.08.11.2005|Bosar Galugur
12.08.11.2006|Bah Jambi II
12.08.11.2007|Bah Kisat
12.08.11.2008|Panembean Marjanji
12.08.11.2009|Muara Mulia
12.08.11.2010|Pardamean Asih
12.08.11.2011|Mekar Mulia
12.08.11.2012|Maligas Tonga
12.08.11.2013|Marubun Jaya
12.08.11.2014|Pagar Jambi
12.08.11.2015|Baliju
12.08.11.2016|Bayu Bagasan
12.08.11.2017|Bah Jambi III
12.08.11.2019|Parbalogan
12.08.11.2020|Marubun Bayu
12.08.12|Hatonduhan
12.08.12.2001|Buttu Bayu
12.08.12.2002|Bosar Nauli
12.08.12.2003|Tangga Batu
12.08.12.2004|Buntu Turunan
12.08.12.2005|Saribu Asih
12.08.12.2006|Jawa Tonga
12.08.12.2007|Tonduhan
12.08.12.2008|Parhundalian Jw.Dipar
12.08.12.2009|Jawa Tongah II
12.08.13|Dolok Panribuan
12.08.13.2001|Negeri Dolok
12.08.13.2002|Dolok Parmonangan
12.08.13.2003|Dolok Tomuan
12.08.13.2004|Marihat Dolok
12.08.13.2005|Tiga Dolok
12.08.13.2006|Ujung Bondar
12.08.13.2007|Marihat Raja
12.08.13.2008|Bandar Dolok
12.08.13.2009|Gunung Mariah
12.08.13.2010|Siatasan
12.08.13.2011|Marihat Marsada
12.08.13.2012|Pondok Buluh
12.08.13.2013|Marihat Pondok
12.08.13.2014|Lumban Gorat
12.08.13.2015|Palianopat
12.08.14|Purba
12.08.14.1008|Tiga Runggu
12.08.14.2001|Purba Tongah
12.08.14.2002|Pematang Purba
12.08.14.2003|Urung Purba
12.08.14.2004|Purba Sipinggan
12.08.14.2005|Hinalang
12.08.14.2006|Purba Dolok
12.08.14.2007|Tano Tinggir
12.08.14.2009|Seribu Jandi
12.08.14.2010|Huta Raja
12.08.14.2011|Bandar Sauhur
12.08.14.2012|Bunga Sampang
12.08.14.2013|Nagori Tongah
12.08.14.2014|Urung Pane
12.08.15|Haranggaol Horison
12.08.15.1005|Haranggaol
12.08.15.2001|Nagori Purba
12.08.15.2002|Nagori Sihalpe
12.08.15.2003|Nagori Purba Horison
12.08.15.2004|Nagori Purba Pasir
12.08.16|Girsang Sipangan Bolon
12.08.16.1003|Girsang
12.08.16.1004|Parapat
12.08.16.1005|Tiga Raja
12.08.16.2001|Sipangan Bolon
12.08.16.2002|Sabaganding
12.08.16.2006|Sipangan Bolon Mekar
12.08.17|Dolok Batu Nanggar
12.08.17.1015|Serbelawan
12.08.17.1016|Aman Sari
12.08.17.2001|Silenduk
12.08.17.2002|Bah Tobu
12.08.17.2003|Bandar Selamat
12.08.17.2004|Dolok Ilir I
12.08.17.2005|Dolok Ilir II
12.08.17.2006|Bahung Kahean
12.08.17.2007|Dolok Mainu
12.08.17.2008|Dolok Merangir I
12.08.17.2009|Dolok Merangir II
12.08.17.2010|Kahean
12.08.17.2011|Dolok Tenera
12.08.17.2012|Dolok Kataran
12.08.17.2013|Padang Mainu
12.08.17.2014|Bahung Huluan
12.08.18|Huta Bayu Raja
12.08.18.1013|Huta Bayu
12.08.18.2001|Mariah Hombang
12.08.18.2002|Pulo Bayu
12.08.18.2003|Silakkidir
12.08.18.2004|Raja Maligas
12.08.18.2005|Dolok Sinumbah
12.08.18.2006|Maligas Bayu
12.08.18.2007|Jawa Baru
12.08.18.2008|Mancuk
12.08.18.2009|Marihat Mayang
12.08.18.2010|Bosar Bayu
12.08.18.2011|Raja Maligas I
12.08.18.2012|Bahal Batu
12.08.18.2014|Pokan Baru
12.08.18.2015|Manrayap Baru
12.08.18.2016|Talang Bayu
12.08.19|Jawa Maraja Bah Jambi
12.08.19.2001|Jawa Maraja
12.08.19.2002|Moho
12.08.19.2003|Bahalat Bayu
12.08.19.2004|Mekar Bahalat
12.08.19.2005|Tanjung Maraja
12.08.19.2006|Mariah Jambi
12.08.19.2007|Bah Joga
12.08.19.2008|Bah Jambi
12.08.20|Dolok Pardamean
12.08.20.2001|Tigaras
12.08.20.2002|Parik Sabungan
12.08.20.2003|Sibuntuon
12.08.20.2004|Dolok Saribu
12.08.20.2007|Butu Bayu Pane Raja
12.08.20.2009|Silabah Jaya
12.08.20.2010|Togu Domu Nauli
12.08.20.2011|Sirube-rube Gunung Purba
12.08.20.2014|Tanjung Saribu
12.08.20.2015|Sihemum Baru
12.08.20.2016|Nagori Bayu
12.08.21|Pematang Bandar
12.08.21.1009|Kerasaan I
12.08.21.1010|Pematang Bandar
12.08.21.2001|Purwosari
12.08.21.2002|Talun Madear
12.08.21.2003|Mariah Bandar
12.08.21.2004|Kandangan
12.08.21.2005|Pardomuan Nauli
12.08.21.2006|Purba Ganda
12.08.21.2007|Kerasaan II
12.08.21.2008|Bandar Manis
12.08.21.2011|Wana Rejo
12.08.21.2012|Talun Rejo
12.08.21.2013|Purwodadi
12.08.22|Bandar Huluan
12.08.22.2001|Naga Jaya I
12.08.22.2002|Bah Gunung
12.08.22.2003|Bandar Tonga
12.08.22.2004|Dolok Parmonangan
12.08.22.2005|Laras
12.08.22.2006|Naga Jaya II
12.08.22.2007|Tanjung Hataran
12.08.22.2008|Bandar Betsy I
12.08.22.2009|Bandar Betsy II
12.08.22.2010|Naga Soppa
12.08.23|Bandar
12.08.23.1014|Perdagangan I
12.08.23.1015|Perdagangan III
12.08.23.2001|Pematang Kerasaan
12.08.23.2002|Marihat Bandar
12.08.23.2003|Nagori Bandar
12.08.23.2004|Bandar Rakyat
12.08.23.2005|Bandar Pulo
12.08.23.2006|Bah Lias
12.08.23.2007|Pardagangan II
12.08.23.2008|Perlanaan
12.08.23.2009|Sugarang Bayu
12.08.23.2010|Pem.Kerasaan Rejo
12.08.23.2011|Timbaan
12.08.23.2012|Bandar Jawa
12.08.23.2013|Sidotani
12.08.23.2016|Landbouw
12.08.24|Bandar Masilam
12.08.24.2001|Bandar Masilam
12.08.24.2002|Lias Baru
12.08.24.2003|Bandar Silou
12.08.24.2004|Panombean Baru
12.08.24.2005|Gunung Serawan
12.08.24.2006|Bandar Masilam II
12.08.24.2007|Patimbalan
12.08.24.2008|Bandar Tinggi
12.08.24.2009|Bandar Rejo
12.08.24.2010|Bandar Gunung
12.08.25|Silimakuta
12.08.25.1012|Seribu Dolok
12.08.25.2003|Bangun Mariah
12.08.25.2004|Purba Sinombah
12.08.25.2006|Purba Tua
12.08.25.2009|Purba Tua Baru
12.08.25.2014|Sinar Baru
12.08.25.2016|Purbatua Etek
12.08.26|Dolok Silau
12.08.26.2001|Cingkes
12.08.26.2002|Paribuan
12.08.26.2003|Saran Padang
12.08.26.2004|Mariah Dolok
12.08.26.2005|Marubun Lokkung
12.08.26.2006|Dolok Mariah
12.08.26.2007|Bawang
12.08.26.2008|Huta Saing
12.08.26.2009|Togur
12.08.26.2010|Perasmian
12.08.26.2011|Tanjung Purba
12.08.26.2012|Silau Marawan
12.08.26.2013|Bosi Sinumbah
12.08.26.2014|Ujung Bawang
12.08.27|Silou Kahean
12.08.27.2001|Simanabun
12.08.27.2002|Pardomuan Tongah
12.08.27.2003|Negeri Dolok
12.08.27.2004|Bandar Maruhur
12.08.27.2005|Silou Dunia
12.08.27.2006|Dolok Marawa
12.08.27.2007|Maria Buttu
12.08.27.2008|Dolok Saribu Bangun
12.08.27.2009|Bandar Nagori
12.08.27.2010|Silou Paribuan
12.08.27.2011|Buttu Bayu
12.08.27.2012|Nagori Tani
12.08.27.2013|Bah Sarimah
12.08.27.2014|Damaritang
12.08.27.2015|Sinasih
12.08.27.2016|Pardomuan Bandar
12.08.28|Tapian Dolok
12.08.28.1009|Sinaksak
12.08.28.2001|Batu Silangit
12.08.28.2002|Dolok Maraja
12.08.28.2003|Dolok Ulu
12.08.28.2004|Nagur Usang
12.08.28.2005|Dolok Kahean
12.08.28.2006|Naga Dolok
12.08.28.2007|Purbasari
12.08.28.2008|Pematang Dolok Kahean
12.08.28.2010|Negri Bayu Muslimin
12.08.28.2011|Dolok Simbolon
12.08.29|Raya
12.08.29.1001|Merek Raya
12.08.29.1002|Dalig Raya
12.08.29.1005|Sondi Raya
12.08.29.1011|Pematang Raya
12.08.29.1018|Baringin Raya
12.08.29.2004|Raya Bayu
12.08.29.2007|Bahapal Raya
12.08.29.2010|Siporkas
12.08.29.2012|Sihubu Raya
12.08.29.2013|Raya Bosi
12.08.29.2014|Silou Huluan
12.08.29.2015|Silou Buttu
12.08.29.2016|Bongguran Kariahan
12.08.29.2017|Simbou Baru
12.08.29.2020|Dame Raya
12.08.29.2021|Limag Raya
12.08.29.2022|Lokkung Raya
12.08.30|Ujung Padang
12.08.30.1001|Ujung Padang
12.08.30.2002|Huta Parik
12.08.30.2003|Dusun Ulu
12.08.30.2004|Tinjoan
12.08.30.2005|Sayur Matinggi
12.08.30.2006|Taratak Nagodang
12.08.30.2007|Sordang Bolon
12.08.30.2008|Teluk Lapian
12.08.30.2009|Tanjung Rapuan
12.08.30.2010|Pagar Bosi
12.08.30.2011|Bangun Sordang
12.08.30.2012|Aek Gerger Sidodadi
12.08.30.2013|Pulo Pitu Marihat
12.08.30.2014|Siringan Ringan
12.08.30.2015|Riah Na Poso
12.08.30.2016|Sei Merbau
12.08.30.2017|Kampung Lalang
12.08.30.2018|Sordang Baru
12.08.30.2019|Banjar Hulu
12.08.30.2020|Rawa Masin
12.08.31|Pamatang Silima Huta
12.08.31.2001|Ujung Saribu
12.08.31.2002|Silimakuta Barat
12.08.31.2003|Siboras
12.08.31.2004|Mardingding
12.08.31.2005|Naga Saribu
12.08.31.2007|Saribu Jandi
12.08.31.2008|Sinar Naga Mariah
12.08.31.2009|Ujung Mariah
12.08.31.2010|Bandar Saribu
12.08.31.2011|Naga Bosar
12.08.32|Dolog Masagal
12.08.32.2001|Raya Huluan
12.08.32.2002|Dolog Huluan
12.08.32.2003|Bintang Mariah
12.08.32.2004|Bah Bolon
12.08.32.2005|Raya Usang
12.08.32.2006|Bangun Pane
12.08.32.2007|Parjalangan
12.08.32.2008|Partuahan
12.08.32.2009|Sinaman Labah
12.08.32.2010|Pamatang Sinaman
12.09|KAB. ASAHAN
12.09.08|Meranti
12.09.08.2002|Meranti
12.09.08.2004|Perkebunan Sei Balai
12.09.08.2011|Sei Beluru
12.09.08.2012|Serdang
12.09.08.2019|Gajah
12.09.08.2021|Air Putih
12.09.08.2022|Sukajadi
12.09.09|Air Joman
12.09.09.1001|Binjai Serbangan
12.09.09.2002|Air Joman
12.09.09.2003|Air Joman Baru
12.09.09.2005|Banjar
12.09.09.2007|Pasar Lembu
12.09.09.2008|Punggulan
12.09.09.2012|Subur
12.09.10|Tanjung Balai
12.09.10.2001|Asahan Mati
12.09.10.2002|Bagan Asahan
12.09.10.2003|Bagan Asahan Baru
12.09.10.2004|Bagan Asahan Pekan
12.09.10.2005|Kapias Batu VIII
12.09.10.2006|Pematang Sei Baru
12.09.10.2007|Sei Apung
12.09.10.2008|Sei Apung Jaya
12.09.11|Sei Kepayang
12.09.11.2008|Sei Kepayang Tengah
12.09.11.2010|Sei Kepayang Kanan
12.09.11.2011|Sei Paham
12.09.11.2014|Pertahanan
12.09.11.2015|Perbangunan
12.09.11.2016|Bangun Baru
12.09.12|Simpang Empat
12.09.12.2002|Perkebunan Suka Raja
12.09.12.2004|Perkebunan Hessa
12.09.12.2006|Sei Dua Hulu
12.09.12.2007|Sei Lama
12.09.12.2008|Silomlom
12.09.12.2009|Simpang Empat
12.09.12.2012|Sipaku Area
12.09.12.2013|Anjung Ganjang
12.09.13|Air Batu
12.09.13.2001|Sei Alim Ulu
12.09.13.2003|Pinanggiripan
12.09.13.2006|Perkebunan Pulahan
12.09.13.2007|Hessa Perlompongan
12.09.13.2008|Perkebunan Air Batu I/II
12.09.13.2009|Perkebunan Air Batu III/IX
12.09.13.2010|Danau Sijabut
